"x","y","treatment","block","spatial_gradient","treatment_effect","yield","plot_id"
12,5,"Reference",2,0.414928226691195,1,12.722177563999,"B2_Reference"
13,5,"Reference",2,0.548172682629197,1,13.8498942399679,"B2_Reference"
14,5,"Reference",2,0.683801943790969,1,13.4710417150163,"B2_Reference"
15,5,"Reference",2,0.821398046197353,1,13.6149954612571,"B2_Reference"
1,6,"Control",2,-0.321488698022421,0,11.9861827128866,"B2_Control"
2,6,"Control",2,-0.311787867187699,0,11.602780230697,"B2_Control"
3,6,"Control",2,-0.283149301030416,0,11.3506353852932,"B2_Control"
4,6,"Control",2,-0.236860442409425,0,11.8175306015153,"B2_Control"
5,6,"Control",2,-0.174769519040405,0,11.7835630722279,"B2_Control"
6,6,"Test",2,-0.0989759171500215,2,13.9027533386199,"B2_Test"
7,6,"Test",2,-0.0115714658964017,2,14.1040126544415,"B2_Test"
8,6,"Test",2,0.0855247992033705,2,13.9743267896656,"B2_Test"
9,6,"Test",2,0.19064385486445,2,14.2,"B2_Test"
10,6,"Test",2,0.302382525004032,2,14.2,"B2_Test"
11,6,"Reference",2,0.419585178166321,1,13.519119767341,"B2_Reference"
12,6,"Reference",2,0.541310881119944,1,13.8703625850647,"B2_Reference"
13,6,"Reference",2,0.666797484276849,1,13.797351931527,"B2_Reference"
14,6,"Reference",2,0.795428267166111,1,13.6976487915067,"B2_Reference"
15,6,"Reference",2,0.926703296426839,1,14.2,"B2_Reference"
1,7,"Control",3,-0.0857864376269051,0,12.2122647191617,"B3_Control"
2,7,"Control",3,-0.0776923034471517,0,12.0868267844053,"B3_Control"
3,7,"Control",3,-0.0536816620488152,0,12.0179378584846,"B3_Control"
4,7,"Control",3,-0.0145261183510415,0,11.7971020588371,"B3_Control"
5,7,"Control",3,0.0386185163241439,0,12.4468142508831,"B3_Control"
6,7,"Test",3,0.1043626746583,2,13.9242847985142,"B3_Test"
7,7,"Test",3,0.181228899419974,2,14.2,"B3_Test"
8,7,"Test",3,0.267766952966369,2,14.2,"B3_Test"
9,7,"Test",3,0.362629258629328,2,14.2,"B3_Test"
10,7,"Test",3,0.464610362782152,2,14.1566840926901,"B3_Test"
11,7,"Reference",3,0.572659732649559,1,13.3595377635398,"B3_Reference"
12,7,"Reference",3,0.685877678299907,1,13.7629427910469,"B3_Reference"
13,7,"Reference",3,0.803502213799586,1,13.7294946502609,"B3_Reference"
14,7,"Reference",3,0.924892170966851,1,13.8206293911475,"B3_Reference"
15,7,"Reference",3,1.04950975679639,1,13.7640241866169,"B3_Reference"
1,8,"Control",3,0.149915822768611,0,12.1364075053259,"B3_Control"
2,8,"Control",3,0.156858897400648,0,11.9213875565635,"B3_Control"
3,8,"Control",3,0.177515709886527,0,11.6771331289101,"B3_Control"
4,8,"Control",3,0.211389749672309,0,12.097321793586,"B3_Control"
5,8,"Control",3,0.257717030980167,0,12.5334160136984,"B3_Control"
6,8,"Test",3,0.315544495202185,2,14.1429404064197,"B3_Test"
7,8,"Test",3,0.383813375700236,2,14.2,"B3_Test"
8,8,"Test",3,0.46143371598997,2,13.9760689035032,"B3_Test"
9,8,"Test",3,0.547342173971967,2,14.2,"B3_Test"
10,8,"Test",3,0.640541076404105,2,14.2,"B3_Test"
11,8,"Reference",3,0.740120664064585,1,13.8304666727146,"B3_Reference"
12,8,"Reference",3,0.845268310175196,1,13.8769711684199,"B3_Reference"
13,8,"Reference",3,0.955268757427955,1,13.7630569549363,"B3_Reference"
14,8,"Reference",3,1.06949883499459,1,13.8145875311845,"B3_Reference"
15,8,"Reference",3,1.18741924943285,1,13.8801806122514,"B3_Reference"
1,9,"Control",3,0.385618083164126,0,12.4209120622942,"B3_Control"
2,9,"Control",3,0.391696259770322,0,12.1074538755149,"B3_Control"
3,9,"Control",3,0.409814726681474,0,12.2626474935713,"B3_Control"
4,9,"Control",3,0.439636102112141,0,12.3628084444527,"B3_Control"
5,9,"Control",3,0.480631842198611,0,13.0337904437683,"B3_Control"
6,9,"Test",3,0.532125770564482,2,14.2,"B3_Test"
7,9,"Test",3,0.593343299079359,2,14.2,"B3_Test"
8,9,"Test",3,0.663459164291194,2,14.2,"B3_Test"
9,9,"Test",3,0.741638532559965,2,14.2,"B3_Test"
10,9,"Test",3,0.827068850100181,2,14.2,"B3_Test"
11,9,"Reference",3,0.918982001359765,1,14.2,"B3_Reference"
12,9,"Reference",3,1.01666779294474,1,14.1521190088685,"B3_Reference"
13,9,"Reference",3,1.11948048370954,1,14.1318503603074,"B3_Reference"
14,9,"Reference",3,1.22684022201006,1,14.1000911723082,"B3_Reference"
15,9,"Reference",3,1.33823106098773,1,13.7222568945256,"B3_Reference"
1,10,"Control",3,0.621320343559642,0,12.9607215075839,"B3_Control"
2,10,"Control",3,0.626724990137058,0,12.1885329688596,"B3_Control"
3,10,"Control",3,0.642857142857143,0,12.8648413961203,"B3_Control"
4,10,"Control",3,0.669477506926777,0,13.242208577692,"B3_Control"
5,10,"Control",3,0.706206458782928,0,12.2730385104914,"B3_Control"
6,10,"Test",3,0.752549575888783,2,14.2,"B3_Test"
7,10,"Test",3,0.807927774486216,2,14.2,"B3_Test"
8,10,"Test",3,0.871708245126285,2,14.2,"B3_Test"
9,10,"Test",3,0.943233053783867,2,14.2,"B3_Test"
10,10,"Test",3,1.02184334912996,2,14.2,"B3_Test"
11,10,"Reference",3,1.10689822727067,1,13.9476262706196,"B3_Reference"
12,10,"Reference",3,1.19778820971732,1,13.7592615342186,"B3_Reference"
13,10,"Reference",3,1.29394388794399,1,14.2,"B3_Reference"
14,10,"Reference",3,1.39484058987992,1,14.2,"B3_Reference"
15,10,"Reference",3,1.5,1,14.1138908571894,"B3_Reference"
