"x","y","treatment","block","spatial_gradient","treatment_effect","yield","plot_id"
4,5,"Control",2,-0.392068806265043,0,11.3023585788028,"B2_Control"
5,5,"Control",2,-0.306354520550758,0,11.3721081115066,"B2_Control"
6,5,"Test",2,-0.230699487776609,2,13.8603591046447,"B2_Test"
7,5,"Test",2,-0.163111349529162,2,13.9713515840597,"B2_Test"
8,5,"Test",2,-0.1,2,13.9159012680192,"B2_Test"
9,5,"Test",2,-0.0368886504708377,2,14.2,"B2_Test"
10,5,"Test",2,0.0306994877766091,2,14.2,"B2_Test"
11,5,"Reference",2,0.106354520550758,1,12.9590451707338,"B2_Reference"
12,5,"Reference",2,0.192068806265044,1,12.4993181435728,"B2_Reference"
13,5,"Reference",2,0.287842344919466,1,13.5895639022581,"B2_Reference"
14,5,"Reference",2,0.391682778100591,1,13.1789225493259,"B2_Reference"
15,5,"Reference",2,0.5,1,13.2935974150598,"B2_Reference"
1,6,"Control",2,-0.5,0,11.807671410909,"B2_Control"
2,6,"Control",2,-0.436888650470838,0,11.4776794474139,"B2_Control"
3,6,"Control",2,-0.369300512223391,0,11.2644841741002,"B2_Control"
4,6,"Control",2,-0.293645479449242,0,11.7607455644755,"B2_Control"
5,6,"Control",2,-0.207931193734957,0,11.7504013975333,"B2_Control"
6,6,"Test",2,-0.112157655080534,2,13.8895716006894,"B2_Test"
7,6,"Test",2,-0.0083172218994092,2,14.1072668984385,"B2_Test"
8,6,"Test",2,0.1,2,13.9888019904623,"B2_Test"
9,6,"Test",2,0.208317221899409,2,14.2,"B2_Test"
10,6,"Test",2,0.312157655080534,2,14.2,"B2_Test"
11,6,"Reference",2,0.407931193734957,1,13.5074657829097,"B2_Reference"
12,6,"Reference",2,0.493645479449242,1,13.822697183394,"B2_Reference"
13,6,"Reference",2,0.569300512223391,1,13.6998549594735,"B2_Reference"
14,6,"Reference",2,0.636888650470837,1,13.5391091748115,"B2_Reference"
15,6,"Reference",2,0.7,1,14.0446422855353,"B2_Reference"
1,7,"Control",3,-0.3,0,11.9980511567886,"B3_Control"
2,7,"Control",3,-0.279368275153348,0,11.8851508126991,"B3_Control"
3,7,"Control",3,-0.245846150941633,0,11.8257733695918,"B3_Control"
4,7,"Control",3,-0.189096329684416,0,11.6225318475038,"B3_Control"
5,7,"Control",3,-0.103382043970131,0,12.3048136905889,"B3_Control"
6,7,"Test",3,0.0112967062012239,2,13.8312188300571,"B3_Test"
7,7,"Test",3,0.14920315341808,2,14.2,"B3_Test"
8,7,"Test",3,0.3,2,14.2,"B3_Test"
9,7,"Test",3,0.450796846581919,2,14.2,"B3_Test"
10,7,"Test",3,0.588703293798776,2,14.2,"B3_Test"
11,7,"Reference",3,0.703382043970131,1,13.4902600748603,"B3_Reference"
12,7,"Reference",3,0.789096329684416,1,13.8661614424314,"B3_Reference"
13,7,"Reference",3,0.845846150941633,1,13.7718385874029,"B3_Reference"
14,7,"Reference",3,0.879368275153348,1,13.775105495334,"B3_Reference"
15,7,"Reference",3,0.9,1,13.6145144298205,"B3_Reference"
1,8,"Control",3,-0.1,0,11.8864916825573,"B3_Control"
2,8,"Control",3,-0.113997982478921,0,11.650530676684,"B3_Control"
3,8,"Control",3,-0.108246727351461,0,11.3913706916721,"B3_Control"
4,8,"Control",3,-0.0669085757276846,0,11.819023468186,"B3_Control"
5,8,"Control",3,0.018805709986601,0,12.2945046927048,"B3_Control"
6,8,"Test",3,0.148896129791397,2,13.9762920410089,"B3_Test"
7,8,"Test",3,0.314573446092508,2,14.2,"B3_Test"
8,8,"Test",3,0.5,2,14.0146351875133,"B3_Test"
9,8,"Test",3,0.685426553907493,2,14.2,"B3_Test"
10,8,"Test",3,0.851103870208604,2,14.2,"B3_Test"
11,8,"Reference",3,0.981194290013399,1,14.0715402986634,"B3_Reference"
12,8,"Reference",3,1.06690857572768,1,14.0986114339724,"B3_Reference"
13,8,"Reference",3,1.10824672735146,1,13.9160349248598,"B3_Reference"
14,8,"Reference",3,1.11399798247892,1,13.8590866786688,"B3_Reference"
15,8,"Reference",3,1.1,1,13.7927613628185,"B3_Reference"
1,9,"Control",3,0.1,0,12.13529397913,"B3_Control"
2,9,"Control",3,0.0633990813359555,0,11.7791566970805,"B3_Control"
3,9,"Control",3,0.051024188996577,0,11.9038569558864,"B3_Control"
4,9,"Control",3,0.0823030876802158,0,12.0054754300207,"B3_Control"
5,9,"Control",3,0.168017373394501,0,12.7211759749642,"B3_Control"
6,9,"Test",3,0.308167046139434,2,14.1125820756308,"B3_Test"
7,9,"Test",3,0.491970509907384,2,14.2,"B3_Test"
8,9,"Test",3,0.7,2,14.2,"B3_Test"
9,9,"Test",3,0.908029490092616,2,14.2,"B3_Test"
10,9,"Test",3,1.09183295386057,2,14.2,"B3_Test"
11,9,"Reference",3,1.2319826266055,1,14.2,"B3_Reference"
12,9,"Reference",3,1.31769691231978,1,14.2,"B3_Reference"
13,9,"Reference",3,1.34897581100342,1,14.2,"B3_Reference"
14,9,"Reference",3,1.33660091866404,1,14.2,"B3_Reference"
15,9,"Reference",3,1.3,1,13.6840258335378,"B3_Reference"
1,10,"Control",3,0.3,0,12.6394011640243,"B3_Control"
2,10,"Control",3,0.255549163979018,0,11.8173571427016,"B3_Control"
3,10,"Control",3,0.236879126688163,0,12.4588633799514,"B3_Control"
4,10,"Control",3,0.26466448348831,0,12.8373955542536,"B3_Control"
5,10,"Control",3,0.350378769202596,0,11.9172108209111,"B3_Control"
6,10,"Test",3,0.49402198383102,2,14.2,"B3_Test"
7,10,"Test",3,0.684120592550447,2,14.2,"B3_Test"
8,10,"Test",3,0.9,2,14.2,"B3_Test"
9,10,"Test",3,1.11587940744955,2,14.2,"B3_Test"
10,10,"Test",3,1.30597801616898,2,14.2,"B3_Test"
11,10,"Reference",3,1.4496212307974,1,14.2,"B3_Reference"
12,10,"Reference",3,1.53533551651169,1,14.0968088410129,"B3_Reference"
13,10,"Reference",3,1.56312087331184,1,14.2,"B3_Reference"
14,10,"Reference",3,1.54445083602098,1,14.2,"B3_Reference"
15,10,"Reference",3,1.5,1,14.1138908571894,"B3_Reference"
